Month Sr No,GRACE/GRACE-FO record index,MONTH,YEAR,START DAY,YEAR.1,END DAY,COMMON MISSING DAYS,CSR unused days,GFZ unused days,JPL unused days
1,1.0,0,2002,91,2002,120,57,33,23,0
2,2.0,8,2002,121,2002,151,4,7,3,0
3,123.0,6,2002,152,2002,181,12,0,0,0
4,123.0,5,2002,182,2002,212,16,0,0,0
5,3.0,1,2002,213,2002,243,60,14,0,14
6,4.0,11,2002,244,2002,273,60,17,0,0
7,5.0,10,2002,274,2002,304,60,0,0,18
8,6.0,9,2002,305,2002,334,38,0,0,0
9,7.0,2,2002,335,2002,365,44,0,17,26
10,8.0,4,2003,1,2003,31,23,15,9,0
11,9.0,3,2003,32,2003,59,60,28,0,28
12,10.0,7,2003,60,2003,90,60,30,0,30
13,11.0,0,2003,91,2003,120,60,0,0,33
14,12.0,8,2003,121,2003,151,9,0,0,0
15,123.0,6,2003,152,2003,181,12,0,0,0
16,13.0,5,2003,182,2003,212,60,0,0,0
17,14.0,1,2003,213,2003,243,60,0,0,0
18,15.0,11,2003,244,2003,273,60,16,0,0
19,16.0,10,2003,274,2003,304,60,0,0,21
20,17.0,9,2003,305,2003,334,60,22,0,23
21,18.0,2,2003,335,2003,365,60,25,0,0
22,19.0,4,2004,1,2004,13,8,0,0,0
23,20.0,3,2004,32,2004,60,36,0,0,0
24,21.0,7,2004,61,2004,91,60,0,0,31
25,22.0,0,2004,92,2004,121,60,0,0,34
26,23.0,8,2004,122,2004,152,60,8,4,2
27,24.0,6,2004,153,2004,182,60,0,0,9
28,25.0,5,2004,183,2004,213,60,0,0,0
29,26.0,1,2004,214,2004,244,60,0,0,11
30,27.0,11,2004,245,2004,274,60,0,0,0
31,28.0,10,2004,275,2004,305,60,0,0,0
32,29.0,9,2004,306,2004,335,60,0,0,0
33,30.0,2,2004,336,2004,366,43,26,0,25
34,31.0,4,2005,1,2005,31,60,0,0,0
35,32.0,3,2005,32,2005,59,60,0,20,29
36,33.0,7,2005,60,2005,90,54,0,21,32
37,34.0,0,2005,91,2005,120,60,0,0,0
38,35.0,8,2005,121,2005,151,60,0,0,0
39,36.0,6,2005,152,2005,181,60,0,0,4
40,37.0,5,2005,182,2005,212,60,0,0,0
41,38.0,1,2005,213,2005,243,60,0,0,13
42,39.0,11,2005,244,2005,273,60,0,0,0
43,40.0,10,2005,274,2005,304,60,0,0,0
44,41.0,9,2005,305,2005,334,60,0,0,0
45,42.0,2,2005,335,2005,365,42,24,0,27
46,43.0,4,2006,1,2006,31,60,0,0,0
47,44.0,3,2006,32,2006,59,60,0,0,0
48,45.0,7,2006,60,2006,90,55,0,0,0
49,46.0,0,2006,91,2006,120,60,0,0,0
50,47.0,8,2006,121,2006,151,60,0,0,0
51,48.0,6,2006,152,2006,181,60,0,6,6
52,49.0,5,2006,182,2006,212,60,0,0,0
53,50.0,1,2006,213,2006,243,60,0,0,0
54,51.0,11,2006,244,2006,273,60,0,0,15
55,52.0,10,2006,274,2006,304,60,0,0,17
56,53.0,9,2006,305,2006,334,60,0,0,0
57,54.0,2,2006,335,2006,365,46,0,0,0
58,55.0,4,2007,1,2007,31,60,4,2,0
59,56.0,3,2007,32,2007,59,60,29,0,0
60,57.0,7,2007,60,2007,90,60,0,0,0
61,58.0,0,2007,91,2007,120,60,1,0,0
